ID,Qyteti,Klienti,Gjinia,Kategoria e produktit,Sasia,Data,Koha,Menyra e pageses,Te ardhura bruto,Vleresimi
750-67-8428,Tirane,Anetar,Femer,Sport dhe udhetime,7,1/5/2021,13:08,Para ne dore,2600.1415 Lek,9.1
226-31-3081,Vlore,Normal,Femer,Ushqime te thata dhe pije,5,3/8/2021,10:29,Para ne dore,300.82 Lek,9.6
631-41-3108,Tirane,Normal,Mashkull,BIO-Organic,7,3/3/2021,13:23,Karte krediti,1600.2155 Lek,7.4
123-19-1176,Tirane,Anetar,Mashkull,Sport dhe udhetime,8,1/27/2021,20:33,Para ne dore,2300.288 Lek,8.4
373-73-7910,Tirane,Normal,Mashkull,Shendeti dhe bukuria,7,2/8/2021,10:37,Para ne dore,3000.2085 Lek,5.3
699-14-3026,Vlore,Normal,Mashkull,Ushqime te thata dhe pije,7,3/25/2021,18:30,Para ne dore,2988.65 Lek,4.1
355-53-5943,Tirane,Anetar,Femer,Ushqime te thata dhe pije,6,2/25/2021,14:36,Para ne dore,2065.2 Lek,5.8
315-22-5665,Vlore,Normal,Femer,BIO-Organic,10,2/24/2021,11:38,Para ne dore,3678 Lek,8
665-32-9167,Tirane,Anetar,Femer,Sport dhe udhetime,2,1/10/2021,17:15,Karte krediti,362.6 Lek,7.2
692-92-5582,Durres,Anetar,Femer,Shtepia dhe stili i jeteses,3,2/20/2021,13:27,Karte krediti,822.6 Lek,5.9
351-62-0822,Durres,Anetar,Femer,Tekstile,4,2/6/2021,18:07,Para ne dore,289.6 Lek,4.5
529-56-3974,Durres,Anetar,Mashkull,Ushqime te thata dhe pije,4,3/9/2021,17:03,Para ne dore,510.2 Lek,6.8
365-64-0515,Tirane,Normal,Femer,Ushqime te thata dhe pije,5,2/12/2021,10:25,Para ne dore,1173.75 Lek,7.1
252-56-2699,Tirane,Normal,Mashkull,Shtepia dhe stili i jeteses,10,2/7/2021,16:48,Para ne dore,2159.5 Lek,8.2
829-34-3910,Tirane,Normal,Femer,Sport dhe udhetime,10,3/29/2021,19:21,Para ne dore,3569 Lek,5.7
299-46-1805,Durres,Anetar,Femer,Shendeti dhe bukuria,6,1/15/2021,16:19,Para ne dore,2811.6 Lek,4.5
656-95-9349,Tirane,Anetar,Femer,Sport dhe udhetime,7,3/11/2021,11:03,Karte krediti,2412.55 Lek,4.6
765-26-6951,Tirane,Normal,Mashkull,Shendeti dhe bukuria,6,1/1/2021,10:39,Karte krediti,2178.3 Lek,6.9
329-62-1586,Tirane,Normal,Mashkull,Shtepia dhe stili i jeteses,3,1/21/2021,18:00,Karte krediti,820.05 Lek,8.6
319-50-3348,Durres,Normal,Femer,BIO-Organic,2,3/11/2021,15:30,Para ne dore,403 Lek,4.4
300-71-4605,Vlore,Anetar,Mashkull,Ushqime te thata dhe pije,5,2/25/2021,11:24,Para ne dore,2151 Lek,4.8
371-85-5789,Durres,Normal,Mashkull,Sport dhe udhetime,3,3/5/2021,10:40,Para ne dore,1319.7 Lek,5.1
273-16-6619,Durres,Normal,Mashkull,BIO-Organic,2,3/15/2021,12:20,Karte krediti,332 Lek,4.4
636-48-8204,Tirane,Normal,Mashkull,Ushqime te thata dhe pije,5,2/17/2021,11:15,Para ne dore,864 Lek,9.9
549-59-1358,Tirane,Anetar,Mashkull,Shendeti dhe bukuria,3,3/2/2021,17:36,Para ne dore,1329.45 Lek,6
227-03-5010,Tirane,Anetar,Femer,BIO-Organic,8,3/22/2021,19:20,Karte krediti,2103.6 Lek,8.5
649-29-6775,Durres,Normal,Mashkull,Tekstile,1,2/8/2021,15:31,Para ne dore,167.6 Lek,6.7
189-17-4241,Tirane,Normal,Femer,Tekstile,2,3/10/2021,12:17,Karte krediti,876.7 Lek,7.7
145-94-9061,Durres,Normal,Femer,Shtepia dhe stili i jeteses,5,1/25/2021,19:48,Para ne dore,2209 Lek,9.6
848-62-7243,Tirane,Normal,Mashkull,Sport dhe udhetime,9,3/15/2021,15:36,Para ne dore,1120.05 Lek,7.4
871-79-8483,Durres,Normal,Mashkull,Tekstile,5,2/25/2021,19:39,Karte krediti,2353.25 Lek,4.8
149-71-6266,Durres,Anetar,Mashkull,Shendeti dhe bukuria,9,1/28/2021,12:43,Para ne dore,3513.15 Lek,4.5
640-49-2076,Durres,Normal,Mashkull,Shendeti dhe bukuria,8,1/10/2021,14:49,Para ne dore,3351.2 Lek,5.1
595-11-5460,Tirane,Normal,Mashkull,Sport dhe udhetime,2,3/15/2021,10:12,Karte krediti,965.8 Lek,5.1
183-56-6882,Vlore,Anetar,Femer,Shtepia dhe stili i jeteses,4,2/6/2021,10:42,Para ne dore,1988.4 Lek,7.5
232-16-2483,Vlore,Anetar,Femer,Shendeti dhe bukuria,1,1/7/2021,12:28,Para ne dore,340.6 Lek,6.8
129-29-8530,Tirane,Anetar,Mashkull,Shendeti dhe bukuria,5,3/10/2021,19:15,Para ne dore,1565.5 Lek,7
272-65-1806,Tirane,Normal,Femer,Ushqime te thata dhe pije,9,1/15/2021,17:17,Para ne dore,2739.6 Lek,4.7
333-73-7901,Vlore,Normal,Femer,Sport dhe udhetime,8,3/23/2021,13:24,Para ne dore,2196.8 Lek,7.6
777-82-7220,Durres,Anetar,Mashkull,BIO-Organic,8,3/3/2021,13:01,Para ne dore,1204.8 Lek,7.7
280-35-5823,Durres,Anetar,Femer,BIO-Organic,1,1/17/2021,18:45,Para ne dore,433.6 Lek,7.9
554-53-8700,Vlore,Anetar,Mashkull,BIO-Organic,2,2/2/2021,10:11,Para ne dore,561.1 Lek,6.3
354-25-5821,Durres,Anetar,Femer,Shendeti dhe bukuria,6,2/8/2021,13:03,Para ne dore,2073.6 Lek,5.6
228-96-1411,Vlore,Anetar,Femer,Shtepia dhe stili i jeteses,8,3/4/2021,20:39,Para ne dore,3948 Lek,7.6
617-15-4209,Vlore,Anetar,Mashkull,Sport dhe udhetime,2,3/16/2021,19:47,Para ne dore,153.7 Lek,7.2
132-32-9879,Durres,Anetar,Femer,Ushqime te thata dhe pije,4,3/9/2021,18:00,Para ne dore,1877.92 Lek,9.5
370-41-7321,Durres,Anetar,Mashkull,Sport dhe udhetime,9,2/27/2021,17:24,Karte krediti,2551.05 Lek,8.4
727-46-3608,Durres,Anetar,Femer,Shtepia dhe stili i jeteses,9,2/6/2021,15:47,Para ne dore,900.45 Lek,4.1
669-54-1719,Durres,Anetar,Mashkull,Ushqime te thata dhe pije,6,2/10/2021,12:45,Karte krediti,567.9 Lek,8.1
574-22-5561,Vlore,Anetar,Femer,Tekstile,10,3/19/2021,17:08,Para ne dore,4131.5 Lek,7.9
326-78-5178,Vlore,Anetar,Mashkull,Shtepia dhe stili i jeteses,7,2/3/2021,10:19,Para ne dore,3199 Lek,9.5
162-48-8011,Tirane,Anetar,Femer,Shtepia dhe stili i jeteses,5,2/10/2021,15:10,Para ne dore,1114.75 Lek,8.5
616-24-2851,Durres,Anetar,Femer,Tekstile,4,3/22/2021,14:42,Para ne dore,357.4 Lek,6.5
778-71-5554,Vlore,Anetar,Mashkull,Tekstile,1,1/25/2021,15:46,Karte krediti,77.15 Lek,6.1
242-55-6721,Durres,Normal,Mashkull,BIO-Organic,2,3/7/2021,11:49,Para ne dore,161.6 Lek,6.5
399-46-5918,Vlore,Normal,Femer,Ushqime te thata dhe pije,8,2/28/2021,19:01,Para ne dore,3439.2 Lek,8.2
106-35-6779,Tirane,Anetar,Mashkull,BIO-Organic,2,3/27/2021,11:26,Para ne dore,443.4 Lek,5.8
635-40-6220,Tirane,Normal,Mashkull,Sport dhe udhetime,8,2/7/2021,11:28,Para ne dore,3584 Lek,6.6
817-48-8732,Tirane,Anetar,Femer,BIO-Organic,10,1/20/2021,15:55,Para ne dore,3617.5 Lek,5.4
120-06-4233,Vlore,Normal,Mashkull,Ushqime te thata dhe pije,6,3/12/2021,20:36,Para ne dore,918.3 Lek,9.3
285-68-5083,Vlore,Anetar,Femer,Shendeti dhe bukuria,3,2/15/2021,17:47,Karte krediti,371.1 Lek,10
803-83-5989,Vlore,Normal,Mashkull,BIO-Organic,6,2/24/2021,10:55,Para ne dore,1671.9 Lek,7
347-34-2234,Durres,Anetar,Femer,Shendeti dhe bukuria,9,2/3/2021,13:40,Para ne dore,2478.15 Lek,10
199-75-8169,Tirane,Anetar,Mashkull,Shendeti dhe bukuria,10,3/6/2021,12:27,Karte krediti,790.5 Lek,8.6
853-23-2453,Durres,Anetar,Mashkull,Sport dhe udhetime,4,2/14/2021,14:35,Para ne dore,1514.8 Lek,7.6
877-22-3308,Tirane,Anetar,Mashkull,Sport dhe udhetime,10,3/13/2021,16:40,Para ne dore,793.5 Lek,5.8
838-78-4295,Vlore,Normal,Femer,Sport dhe udhetime,2,2/10/2021,15:43,Para ne dore,334.7 Lek,6.7
109-28-2512,Durres,Anetar,Femer,Tekstile,6,1/7/2021,15:01,Para ne dore,2928.3 Lek,9.9
